taxon,count
Apis mellifera,1592
Bombus melanopygus,406
Bombus californicus,332
Xylocopa tabaniformis orpifex,310
Bombus vosnesenskii,299
Xylocopa sonorina,262
Anthidium manicatum,154
Pyrobombus,92
Halictus farinosus,69
Xylocopa tabaniformis,62
Bombus rufocinctus,49
Halictus ligatus,46
Halictus tripartitus,42
Bombus vandykei,32
Agapostemon subtilior,31
Bombus crotchii,26
Habropoda depressa,25
Lasioglossum kincaidii,12
Diadasia bituberculata,11
Anthidium oblongatum,8
Andrena auricoma,8
Megachile perihirta,8
Lasioglossum titusi,8
Bombus sitkensis,7
Bombus caliginosus,7
Anthophora californica,7
Protosmia rubifloris,7
Anthophora urbana,7
Xenoglossa pruinosa,6
Anthophora bomboides,5
Anthophora bomboides stanfordiana,5
Melecta separata,4
Anthidium maculosum,4
Chelostoma californicum,4
Xylocopa californica,3
Hoplitis fulgida,3
Plebeia emerina,3
Coelioxys rufitarsis,2
Anthidium palliventre,2
Eucera frater albopilosa,2
Bombus,2
Anthidium illustre,2
Brachymelecta californica,2
Hesperapis regularis,2
Anthidiellum notatum,2
Bombus flavifrons,2
Micralictoides ruficaudus,2
Megachile rotundata,1
Hylaeus punctatus,1
Melissodes communis,1
Lasioglossum ovaliceps,1
Nomada suavis,1
Megachile apicalis,1
Hoplitis albifrons,1
Epimelissodes obliquus expurgatus,1
Epeolus compactus,1
Diadasia enavata,1
Stelis laticincta,1
Ceratina acantha,1
Hylaeus,1
Lasioglossum pavonotus,1
Anthidiellum notatum robertsoni,1
Osmia coloradensis,1
Megachile melanophaea,1
Perdita californica,1
Lasioglossum sisymbrii,1
Osmia lignaria,1
Andrena miserabilis,1
Melecta separata callura,1
Calliopsis cinctus hurdi,1
Perdita interrupta,1
